vendor_id,company_id,name,category,risk_profile,status,bank_name,bank_account_number,tax_id,onboarded_date
VEN-0001,COMP-05,Sable Networks,Utilities,Low,Active,ICICI Bank,XXXXXX6004,GSTIN18905543851507,2025-07-23
VEN-0002,COMP-04,Glacier Solutions,Facilities,Low,Active,Yes Bank,XXXXXX0786,GSTIN38662056113912,2024-05-05
VEN-0003,COMP-02,Nimbus Group,Marketing Services,Low,Active,Axis Bank,XXXXXX3512,GSTIN34178609269533,2024-09-08
VEN-0004,COMP-04,Cascade Solutions,Travel,Medium,Active,HDFC Bank,XXXXXX1724,GSTIN37603094895587,2025-02-18
VEN-0005,COMP-05,Keystone Industries,Logistics,Low,Active,HDFC Bank,XXXXXX3348,GSTIN53099043702731,2026-03-27
VEN-0006,COMP-05,Glacier Partners,Logistics,Low,Active,ICICI Bank,XXXXXX4114,GSTIN80980527768069,2025-05-29
VEN-0007,COMP-01,Marlin Materials,Software/SaaS,Medium,Active,Yes Bank,XXXXXX7819,GSTIN50516539068589,2023-12-10
VEN-0008,COMP-02,Northgate Materials,Office Supplies,Medium,Active,Kotak Mahindra Bank,XXXXXX3011,GSTIN49152648726565,2025-06-27
VEN-0009,COMP-04,Zenith Services,Consulting,Medium,Active,HDFC Bank,XXXXXX6372,GSTIN61926113798926,2025-08-01
VEN-0010,COMP-03,Quartz Industries,Utilities,Medium,Active,Yes Bank,XXXXXX7722,GSTIN70832308822102,2025-12-02
VEN-0011,COMP-03,Glacier Supplies,Software/SaaS,Low,Active,HDFC Bank,XXXXXX3810,GSTIN44281576417588,2024-10-12
VEN-0012,COMP-01,Quantum Enterprises,Office Supplies,Medium,Active,HDFC Bank,XXXXXX1000,GSTIN43445707728494,2025-03-13
VEN-0013,COMP-01,Northgate Technologies,Software/SaaS,Medium,Active,Kotak Mahindra Bank,XXXXXX8770,GSTIN71456018881025,2025-05-10
VEN-0014,COMP-04,Juniper Solutions,Consulting,Low,Active,HDFC Bank,XXXXXX6992,GSTIN40541057939666,2024-12-06
