log_id,user_id,company_id,event_type,ip_address,device,success,timestamp
AUTH-00001,USR-0001,COMP-03,mfa_verified,207.88.70.163,Edge/Windows,True,2026-02-26 17:43:10
AUTH-00002,USR-0001,COMP-03,login_success,26.72.148.241,Firefox/macOS,True,2025-04-01 12:02:45
AUTH-00003,USR-0001,COMP-03,login_success,143.67.240.208,Firefox/macOS,True,2025-08-14 11:48:12
AUTH-00004,USR-0001,COMP-03,login_success,65.17.9.78,Edge/Windows,True,2025-03-19 17:46:08
AUTH-00005,USR-0002,COMP-05,login_success,148.178.86.136,Chrome/Android,True,2025-05-01 13:56:22
AUTH-00006,USR-0002,COMP-05,password_reset,222.8.26.202,Edge/Windows,False,2025-03-13 12:58:30
AUTH-00007,USR-0002,COMP-05,login_success,73.69.138.222,Chrome/Windows,True,2026-02-11 12:25:47
AUTH-00008,USR-0002,COMP-05,login_success,100.193.34.56,Safari/iOS,True,2025-01-11 09:41:29
AUTH-00009,USR-0003,COMP-05,login_success,216.103.98.168,Edge/Windows,True,2026-06-10 15:21:55
AUTH-00010,USR-0003,COMP-05,login_success,59.51.45.38,Chrome/Windows,True,2026-03-23 17:15:46
AUTH-00011,USR-0003,COMP-05,mfa_verified,113.131.26.166,Safari/iOS,True,2026-05-02 12:39:20
AUTH-00012,USR-0003,COMP-05,login_success,48.121.185.119,Edge/Windows,True,2026-05-05 10:12:23
AUTH-00013,USR-0003,COMP-05,login_success,175.206.77.215,Edge/Windows,True,2026-01-20 18:05:18
AUTH-00014,USR-0003,COMP-05,mfa_verified,91.246.40.106,Chrome/Windows,True,2025-03-06 15:06:40
AUTH-00015,USR-0004,COMP-01,login_success,189.130.165.100,Chrome/Android,True,2026-05-13 11:23:41
AUTH-00016,USR-0004,COMP-01,password_reset,127.59.197.72,Chrome/Android,False,2025-08-18 13:12:20
AUTH-00017,USR-0004,COMP-01,login_success,71.120.191.156,Edge/Windows,True,2025-05-11 15:30:20
AUTH-00018,USR-0005,COMP-01,login_failed,51.47.146.95,Firefox/macOS,False,2025-12-02 12:44:38
AUTH-00019,USR-0005,COMP-01,login_success,73.136.235.254,Edge/Windows,True,2026-05-01 15:11:52
AUTH-00020,USR-0005,COMP-01,login_failed,100.189.90.213,Chrome/Android,False,2026-06-18 19:28:02
AUTH-00021,USR-0006,COMP-05,login_success,42.195.132.101,Chrome/Windows,True,2025-08-31 14:47:07
AUTH-00022,USR-0006,COMP-05,login_success,133.51.250.249,Chrome/Android,True,2025-04-10 15:47:16
AUTH-00023,USR-0007,COMP-03,mfa_verified,159.189.55.4,Chrome/Android,True,2026-04-02 09:22:13
AUTH-00024,USR-0007,COMP-03,login_success,59.153.29.203,Chrome/Windows,True,2025-02-16 14:53:31
AUTH-00025,USR-0007,COMP-03,login_failed,166.192.32.37,Chrome/Windows,False,2025-08-30 11:55:24
AUTH-00026,USR-0007,COMP-03,login_success,110.169.220.153,Edge/Windows,True,2025-03-19 13:02:20
AUTH-00027,USR-0008,COMP-04,login_success,205.81.28.113,Firefox/macOS,True,2026-02-16 14:22:49
AUTH-00028,USR-0008,COMP-04,login_success,40.80.133.172,Chrome/Android,True,2026-03-30 11:18:39
AUTH-00029,USR-0008,COMP-04,login_success,30.54.53.223,Firefox/macOS,True,2025-04-27 18:33:59
AUTH-00030,USR-0008,COMP-04,login_failed,149.190.218.137,Safari/iOS,False,2025-01-07 16:44:25
AUTH-00031,USR-0008,COMP-04,login_success,95.128.78.177,Firefox/macOS,True,2025-08-30 15:51:37
AUTH-00032,USR-0008,COMP-04,login_success,61.192.104.200,Firefox/macOS,True,2025-10-12 19:39:17
AUTH-00033,USR-0009,COMP-04,login_success,30.244.95.153,Edge/Windows,True,2025-02-23 09:44:14
AUTH-00034,USR-0009,COMP-04,login_success,207.145.138.10,Chrome/Windows,True,2025-03-04 18:57:40
AUTH-00035,USR-0009,COMP-04,login_failed,205.112.22.101,Safari/iOS,False,2025-07-26 19:52:10
AUTH-00036,USR-0009,COMP-04,login_success,94.231.210.178,Firefox/macOS,True,2025-06-26 11:59:54
AUTH-00037,USR-0009,COMP-04,login_success,97.140.72.103,Firefox/macOS,True,2026-02-07 12:00:38
