decision_id,company_id,invoice_id,recommendation,reasoning,confidence_score,decided_by,timestamp
DEC-00001,COMP-01,INV-00323,Flag for Review,Amount deviates 79% from vendor's historical average invoice value.,0.75,system_ai,2026-04-17 02:24:00
DEC-00002,COMP-04,INV-00302,Escalate,Unusual spend pattern detected across multiple invoices from this vendor this month.,0.85,system_ai,2025-10-21 10:00:00
DEC-00003,COMP-01,INV-00284,Flag for Review,Vendor risk profile is Medium; manual verification recommended before payment.,0.76,system_ai,2025-09-11 03:38:00
DEC-00004,COMP-03,INV-00182,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.71,user_override,2026-01-07 05:55:00
DEC-00005,COMP-04,INV-00325,Reject,Invoice amount exceeds remaining Engineering budget allocation.,0.72,system_ai,2025-10-02 09:12:00
DEC-00006,COMP-02,INV-00229,Approve,Amount consistent with historical spend for R&D; auto-approved.,0.76,system_ai,2025-03-05 01:24:00
DEC-00007,COMP-02,INV-00039,Flag for Review,Invoice date falls outside normal billing cycle for this vendor.,0.56,system_ai,2025-06-18 03:01:00
DEC-00008,COMP-02,INV-00191,Escalate,Unusual spend pattern detected across multiple invoices from this vendor this month.,0.68,system_ai,2026-05-26 04:04:00
DEC-00009,COMP-05,INV-00234,Hold - Duplicate Suspected,Line items closely match an invoice processed within the last 14 days.,0.73,system_ai,2026-05-29 03:09:00
DEC-00010,COMP-03,INV-00240,Escalate,Unusual spend pattern detected across multiple invoices from this vendor this month.,0.8,user_override,2025-12-03 13:51:00
DEC-00011,COMP-01,INV-00054,Approve,Invoice matches purchase order and vendor risk profile is Low; amount within department budget.,0.8,system_ai,2025-04-24 22:10:00
DEC-00012,COMP-03,INV-00057,Flag for Review,Vendor risk profile is High; manual verification recommended before payment.,0.77,system_ai,2025-08-13 01:55:00
DEC-00013,COMP-02,INV-00004,Flag for Review,Vendor risk profile is Medium; manual verification recommended before payment.,0.62,system_ai,2025-02-13 21:55:00
DEC-00014,COMP-01,INV-00055,Approve,Amount consistent with historical spend for Sales; auto-approved.,0.79,system_ai,2026-01-03 00:09:00
DEC-00015,COMP-02,INV-00241,Reject,Invoice amount exceeds remaining Finance budget allocation.,0.91,user_override,2025-10-17 20:23:00
DEC-00016,COMP-05,INV-00018,Escalate,Unusual spend pattern detected across multiple invoices from this vendor this month.,0.85,system_ai,2025-12-31 00:21:00
DEC-00017,COMP-04,INV-00131,Approve,Invoice matches purchase order and vendor risk profile is Medium; amount within department budget.,0.66,system_ai,2025-04-18 19:37:00
DEC-00018,COMP-04,INV-00313,Escalate,Unusual spend pattern detected across multiple invoices from this vendor this month.,0.91,system_ai,2025-12-25 09:20:00
DEC-00019,COMP-02,INV-00103,Reject,Duplicate invoice number detected for the same vendor and amount.,0.79,system_ai,2025-10-04 14:21:00
DEC-00020,COMP-05,INV-00073,Reject,Vendor flagged as Low risk with prior fraud indicators.,0.72,user_override,2026-04-04 15:41:00
DEC-00021,COMP-01,INV-00294,Flag for Review,Vendor risk profile is Medium; manual verification recommended before payment.,0.76,system_ai,2025-08-01 03:31:00
DEC-00022,COMP-02,INV-00011,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.87,system_ai,2026-02-28 19:50:00
DEC-00023,COMP-01,INV-00052,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.86,system_ai,2025-03-21 11:50:00
DEC-00024,COMP-05,INV-00094,Approve,Amount consistent with historical spend for Finance; auto-approved.,0.67,system_ai,2026-02-27 05:30:00
DEC-00025,COMP-04,INV-00038,Approve,Recurring vendor with consistent billing pattern; no anomalies detected.,0.75,system_ai,2025-05-13 12:46:00
DEC-00026,COMP-01,INV-00153,Approve,Invoice matches purchase order and vendor risk profile is Medium; amount within department budget.,0.66,system_ai,2025-04-26 11:48:00
DEC-00027,COMP-02,INV-00226,Flag for Review,Invoice date falls outside normal billing cycle for this vendor.,0.9,system_ai,2025-09-20 22:30:00
DEC-00028,COMP-04,INV-00101,Flag for Review,Invoice date falls outside normal billing cycle for this vendor.,0.78,system_ai,2026-03-23 23:32:00
