transaction_id,company_id,date,type,category,amount
CT-000001,COMP-01,2025-01-01,inflow,Revenue/Collections,197170.17
CT-000002,COMP-01,2025-01-01,outflow,Operating Expenses,109237.4
CT-000003,COMP-01,2025-01-02,inflow,Revenue/Collections,233242.4
CT-000004,COMP-01,2025-01-02,outflow,Operating Expenses,118397.59
CT-000005,COMP-01,2025-01-03,inflow,Revenue/Collections,216713.42
CT-000006,COMP-01,2025-01-03,outflow,Operating Expenses,124719.89
CT-000007,COMP-01,2025-01-04,inflow,Revenue/Collections,100906.83
CT-000008,COMP-01,2025-01-04,outflow,Vendor Payments,24072.92
CT-000009,COMP-01,2025-01-05,inflow,Revenue/Collections,79683.19
CT-000010,COMP-01,2025-01-05,outflow,Vendor Payments,38012.65
CT-000011,COMP-01,2025-01-06,inflow,Revenue/Collections,177159.02
CT-000012,COMP-01,2025-01-06,outflow,Vendor Payments,133535.0
CT-000013,COMP-01,2025-01-07,inflow,Revenue/Collections,198212.27
CT-000014,COMP-01,2025-01-07,outflow,Operating Expenses,133933.81
CT-000015,COMP-01,2025-01-08,inflow,Revenue/Collections,200782.48
CT-000016,COMP-01,2025-01-08,outflow,Vendor Payments,132650.07
CT-000017,COMP-01,2025-01-09,inflow,Revenue/Collections,191296.04
CT-000018,COMP-01,2025-01-09,outflow,Payroll,127667.62
CT-000019,COMP-01,2025-01-10,inflow,Revenue/Collections,191637.18
CT-000020,COMP-01,2025-01-10,outflow,Vendor Payments,117632.56
CT-000021,COMP-01,2025-01-11,inflow,Revenue/Collections,86970.89
CT-000022,COMP-01,2025-01-11,outflow,Payroll,29665.59
CT-000023,COMP-01,2025-01-12,inflow,Revenue/Collections,76635.77
CT-000024,COMP-01,2025-01-12,outflow,Vendor Payments,40881.46
CT-000025,COMP-01,2025-01-13,inflow,Revenue/Collections,191405.66
CT-000026,COMP-01,2025-01-13,outflow,Payroll,109036.99
CT-000027,COMP-01,2025-01-14,inflow,Revenue/Collections,169132.59
CT-000028,COMP-01,2025-01-14,outflow,Vendor Payments,112352.78
CT-000029,COMP-01,2025-01-15,inflow,Revenue/Collections,191059.14
CT-000030,COMP-01,2025-01-15,outflow,Payroll,132776.14
CT-000031,COMP-01,2025-01-16,inflow,Revenue/Collections,200888.56
CT-000032,COMP-01,2025-01-16,outflow,Payroll,130249.45
CT-000033,COMP-01,2025-01-17,inflow,Revenue/Collections,180573.91
CT-000034,COMP-01,2025-01-17,outflow,Payroll,114298.31
CT-000035,COMP-01,2025-01-18,inflow,Revenue/Collections,61579.26
CT-000036,COMP-01,2025-01-18,outflow,Vendor Payments,25018.24
CT-000037,COMP-01,2025-01-19,inflow,Revenue/Collections,65662.25
CT-000038,COMP-01,2025-01-19,outflow,Vendor Payments,32040.76
CT-000039,COMP-01,2025-01-20,inflow,Revenue/Collections,175973.39
CT-000040,COMP-01,2025-01-20,outflow,Vendor Payments,125339.35
CT-000041,COMP-01,2025-01-21,inflow,Revenue/Collections,182725.75
CT-000042,COMP-01,2025-01-21,outflow,Operating Expenses,122110.95
CT-000043,COMP-01,2025-01-22,inflow,Revenue/Collections,186244.4
CT-000044,COMP-01,2025-01-22,outflow,Operating Expenses,136136.36
CT-000045,COMP-01,2025-01-23,inflow,Revenue/Collections,198458.91
CT-000046,COMP-01,2025-01-23,outflow,Payroll,137462.95
CT-000047,COMP-01,2025-01-24,inflow,Revenue/Collections,170456.25
CT-000048,COMP-01,2025-01-24,outflow,Vendor Payments,104959.95
CT-000049,COMP-01,2025-01-25,inflow,Revenue/Collections,90165.99
CT-000050,COMP-01,2025-01-25,outflow,Payroll,50980.62
CT-000051,COMP-01,2025-01-26,inflow,Revenue/Collections,97359.22
CT-000052,COMP-01,2025-01-26,outflow,Operating Expenses,49680.69
CT-000053,COMP-01,2025-01-27,inflow,Revenue/Collections,180256.59
CT-000054,COMP-01,2025-01-27,outflow,Payroll,186150.05
CT-000055,COMP-01,2025-01-28,inflow,Revenue/Collections,174750.14
CT-000056,COMP-01,2025-01-28,outflow,Payroll,222923.16
CT-000057,COMP-01,2025-01-29,inflow,Revenue/Collections,191292.88
CT-000058,COMP-01,2025-01-29,outflow,Payroll,201000.85
CT-000059,COMP-01,2025-01-30,inflow,Revenue/Collections,193383.04
CT-000060,COMP-01,2025-01-30,outflow,Vendor Payments,215023.16
CT-000061,COMP-01,2025-01-31,inflow,Revenue/Collections,197263.73
CT-000062,COMP-01,2025-01-31,outflow,Operating Expenses,197688.1
CT-000063,COMP-01,2025-02-01,inflow,Revenue/Collections,82677.96
CT-000064,COMP-01,2025-02-01,outflow,Vendor Payments,33308.49
CT-000065,COMP-01,2025-02-02,inflow,Revenue/Collections,102248.06
CT-000066,COMP-01,2025-02-02,outflow,Vendor Payments,39184.14
CT-000067,COMP-01,2025-02-03,inflow,Revenue/Collections,242814.12
CT-000068,COMP-01,2025-02-03,outflow,Vendor Payments,124814.27
CT-000069,COMP-01,2025-02-04,inflow,Revenue/Collections,205748.61
CT-000070,COMP-01,2025-02-04,outflow,Payroll,109128.31
CT-000071,COMP-01,2025-02-05,inflow,Revenue/Collections,198085.2
CT-000072,COMP-01,2025-02-05,outflow,Operating Expenses,135218.61
