payment_id,company_id,invoice_id,amount,status,payment_method,bank_reference,payment_date
PAY-00001,COMP-02,INV-00001,19946.69,Completed,UPI,REF337705333,2025-11-25
PAY-00002,COMP-04,INV-00002,16350.62,Completed,RTGS,REF523150180,2025-07-22
PAY-00003,COMP-05,INV-00003,49098.72,Completed,UPI,REF251104126,2026-04-14
PAY-00004,COMP-02,INV-00004,55270.19,Failed,NEFT,REF198798039,2026-03-13
PAY-00005,COMP-04,INV-00005,23819.4,Pending,UPI,REF736372560,2025-10-25
PAY-00006,COMP-02,INV-00006,1694.37,Pending,Cheque,REF936230407,2026-05-18
PAY-00007,COMP-04,INV-00007,16216.65,Completed,Cheque,REF914383834,2026-01-19
PAY-00008,COMP-04,INV-00008,54019.34,Completed,RTGS,REF404037091,2025-07-02
PAY-00009,COMP-02,INV-00009,23611.45,Pending,RTGS,REF257087607,2025-03-27
PAY-00010,COMP-01,INV-00010,17752.03,Pending,NEFT,REF853176228,2025-02-21
PAY-00011,COMP-02,INV-00011,69781.04,Pending,UPI,REF496522319,2025-03-10
PAY-00012,COMP-03,INV-00012,3357.55,Completed,UPI,REF418624730,2025-07-01
PAY-00013,COMP-03,INV-00012,3146.77,Completed,Bank Transfer,REF306374766,2025-11-09
PAY-00014,COMP-04,INV-00013,77248.05,Completed,RTGS,REF934798329,2026-04-27
PAY-00015,COMP-05,INV-00014,7698.46,Completed,NEFT,REF698788627,2026-02-07
PAY-00016,COMP-03,INV-00015,23916.89,Completed,Bank Transfer,REF985664034,2026-01-27
PAY-00017,COMP-05,INV-00016,13919.02,Failed,NEFT,REF473732540,2025-03-05
PAY-00018,COMP-02,INV-00017,14093.14,Failed,RTGS,REF631225427,2026-05-24
PAY-00019,COMP-01,INV-00019,16030.5,Completed,Cheque,REF363443809,2025-09-25
PAY-00020,COMP-01,INV-00020,601.47,Completed,Bank Transfer,REF583204248,2025-11-06
PAY-00021,COMP-02,INV-00021,13533.07,Failed,Bank Transfer,REF653043884,2025-04-22
PAY-00022,COMP-03,INV-00022,1131.48,Pending,RTGS,REF346445568,2025-02-16
PAY-00023,COMP-04,INV-00023,622.56,Completed,UPI,REF905060821,2026-01-13
PAY-00024,COMP-04,INV-00023,1350.67,Completed,RTGS,REF167452107,2025-12-02
PAY-00025,COMP-04,INV-00024,41621.19,Pending,Bank Transfer,REF697014261,2025-02-28
PAY-00026,COMP-04,INV-00025,1359.93,Pending,Bank Transfer,REF693873233,2025-08-24
PAY-00027,COMP-04,INV-00027,40537.84,Pending,NEFT,REF204553024,2025-03-15
PAY-00028,COMP-04,INV-00028,1730.37,Completed,UPI,REF350172644,2026-03-21
PAY-00029,COMP-03,INV-00029,44557.87,Completed,RTGS,REF897538429,2025-12-03
PAY-00030,COMP-03,INV-00031,4346.9,Completed,NEFT,REF672359158,2025-10-22
PAY-00031,COMP-02,INV-00032,2329.06,Completed,Cheque,REF819148928,2025-10-16
PAY-00032,COMP-04,INV-00033,161.79,Completed,UPI,REF380937224,2026-03-08
PAY-00033,COMP-04,INV-00034,9430.92,Refunded,Bank Transfer,REF884519542,2025-09-26
PAY-00034,COMP-05,INV-00035,5850.81,Completed,Bank Transfer,REF497577145,2026-03-16
PAY-00035,COMP-04,INV-00036,11967.52,Pending,NEFT,REF422313170,2025-04-12
PAY-00036,COMP-02,INV-00037,80961.78,Completed,NEFT,REF887743752,2025-02-26
PAY-00037,COMP-04,INV-00038,15407.55,Pending,UPI,REF544584468,2025-03-23
PAY-00038,COMP-02,INV-00039,5260.04,Pending,UPI,REF134937345,2025-07-13
PAY-00039,COMP-01,INV-00040,2706.81,Completed,Bank Transfer,REF129105432,2025-09-23
PAY-00040,COMP-04,INV-00041,3956.09,Pending,RTGS,REF333789299,2026-02-13
PAY-00041,COMP-05,INV-00042,41101.63,Pending,Bank Transfer,REF549820065,2026-02-22
PAY-00042,COMP-05,INV-00043,4671.51,Completed,UPI,REF192918235,2025-07-24
PAY-00043,COMP-04,INV-00044,13681.74,Pending,Bank Transfer,REF905468042,2025-12-05
PAY-00044,COMP-05,INV-00045,2840.36,Completed,NEFT,REF416120995,2025-12-02
PAY-00045,COMP-05,INV-00046,10336.79,Completed,NEFT,REF502144371,2025-10-15
PAY-00046,COMP-05,INV-00047,2843.04,Completed,NEFT,REF134286245,2026-04-27
PAY-00047,COMP-04,INV-00048,11864.83,Completed,Bank Transfer,REF819260483,2025-09-20
PAY-00048,COMP-04,INV-00051,44559.3,Completed,RTGS,REF600980912,2025-07-15
PAY-00049,COMP-01,INV-00052,1540.7,Completed,RTGS,REF733734715,2026-06-24
PAY-00050,COMP-01,INV-00052,1246.54,Completed,Bank Transfer,REF464386133,2025-02-19
PAY-00051,COMP-02,INV-00053,1145.56,Pending,UPI,REF118777961,2025-01-12
PAY-00052,COMP-01,INV-00054,58279.62,Pending,RTGS,REF478471464,2026-02-16
PAY-00053,COMP-01,INV-00055,21797.31,Completed,Cheque,REF661705958,2026-02-17
PAY-00054,COMP-05,INV-00056,7742.55,Completed,Bank Transfer,REF749903862,2025-01-15
PAY-00055,COMP-03,INV-00057,2991.12,Failed,NEFT,REF185595044,2025-11-27
PAY-00056,COMP-02,INV-00058,4371.28,Completed,RTGS,REF522875306,2026-03-21
PAY-00057,COMP-02,INV-00059,37362.65,Completed,RTGS,REF353487222,2025-01-05
PAY-00058,COMP-03,INV-00060,742.96,Completed,NEFT,REF248870819,2025-10-17
PAY-00059,COMP-03,INV-00060,1068.17,Completed,Bank Transfer,REF686984608,2025-11-07
PAY-00060,COMP-03,INV-00061,6199.81,Completed,NEFT,REF477303908,2025-12-30
PAY-00061,COMP-03,INV-00062,1421.67,Pending,UPI,REF433350356,2025-03-24
PAY-00062,COMP-01,INV-00063,6926.1,Pending,Cheque,REF920711741,2025-07-23
PAY-00063,COMP-03,INV-00064,9906.77,Completed,Cheque,REF230296461,2025-01-24
PAY-00064,COMP-01,INV-00065,2078.1,Completed,NEFT,REF342670239,2025-11-23
PAY-00065,COMP-01,INV-00065,3338.25,Completed,RTGS,REF662077465,2026-05-22
PAY-00066,COMP-02,INV-00070,14837.7,Pending,NEFT,REF425156907,2025-08-20
PAY-00067,COMP-05,INV-00071,27504.62,Completed,UPI,REF499220440,2025-02-22
PAY-00068,COMP-04,INV-00072,42071.94,Completed,RTGS,REF303058097,2026-04-11
PAY-00069,COMP-05,INV-00073,5561.04,Failed,RTGS,REF254306905,2026-06-20
PAY-00070,COMP-05,INV-00074,9991.8,Completed,NEFT,REF329400320,2025-04-28
PAY-00071,COMP-05,INV-00075,2193.1,Completed,Cheque,REF578097821,2026-05-09
PAY-00072,COMP-04,INV-00076,47095.03,Completed,RTGS,REF521335198,2025-01-13
PAY-00073,COMP-03,INV-00077,21685.68,Failed,RTGS,REF264708152,2025-12-05
PAY-00074,COMP-02,INV-00078,4181.87,Pending,RTGS,REF542775784,2026-04-18
PAY-00075,COMP-04,INV-00079,872.34,Failed,NEFT,REF341650773,2026-04-03
PAY-00076,COMP-02,INV-00080,2304.9,Failed,RTGS,REF806798502,2025-08-21
PAY-00077,COMP-01,INV-00082,3351.82,Completed,RTGS,REF757102854,2026-06-02
PAY-00078,COMP-01,INV-00082,4630.58,Completed,UPI,REF199125670,2026-03-30
PAY-00079,COMP-04,INV-00083,1648.62,Completed,Cheque,REF498143580,2026-02-20
PAY-00080,COMP-04,INV-00083,2102.62,Completed,Bank Transfer,REF527115550,2025-08-01
PAY-00081,COMP-04,INV-00084,42256.19,Pending,RTGS,REF972356611,2026-05-04
PAY-00082,COMP-03,INV-00086,2217.98,Failed,Bank Transfer,REF320925895,2026-03-14
PAY-00083,COMP-05,INV-00087,24259.99,Completed,Cheque,REF877463932,2026-05-11
PAY-00084,COMP-01,INV-00088,6942.2,Completed,Cheque,REF299052604,2025-12-21
PAY-00085,COMP-01,INV-00088,8338.09,Completed,NEFT,REF256439998,2025-10-04
PAY-00086,COMP-03,INV-00090,11116.78,Pending,Cheque,REF233585728,2025-07-27
PAY-00087,COMP-03,INV-00091,39745.51,Completed,Cheque,REF972481691,2026-06-12
PAY-00088,COMP-04,INV-00092,99.33,Completed,RTGS,REF530841883,2025-03-22
PAY-00089,COMP-02,INV-00093,2617.7,Completed,Cheque,REF965780485,2025-01-01
PAY-00090,COMP-05,INV-00094,6431.78,Completed,Bank Transfer,REF135151536,2025-09-22
PAY-00091,COMP-05,INV-00094,8779.48,Completed,UPI,REF585085029,2026-01-20
PAY-00092,COMP-03,INV-00095,13538.33,Completed,UPI,REF798747618,2025-05-02
