gl_code,category,description
6100,Software Subscriptions,SaaS tools and licenses
6110,Cloud Infrastructure,"Hosting, compute, storage"
6200,Office Supplies,Stationery and consumables
6300,Consulting Fees,External advisory and contractor services
6400,Logistics & Freight,Shipping and freight charges
6500,Raw Materials,Manufacturing input materials
6600,Utilities,"Electricity, water, internet"
6700,Marketing & Advertising,Campaigns and agency fees
6800,Travel & Entertainment,Business travel and client entertainment
6900,Facilities & Rent,Office space and maintenance
7000,Professional Services,Legal and audit fees
7100,Equipment & Hardware,IT hardware and machinery
