invoice_id,company_id,vendor_id,department,gl_account,amount,currency,tax_amount,date,due_date,payment_terms,status,po_number,contract_id,submitted_by,submitted_at,source_channel,ocr_confidence,is_recurring,notes
INV-00001,COMP-02,VEN-0091,Marketing,6400,19946.69,INR,3590.4,2026-05-07,2026-05-22,Net 45,Pending,PO-767302,,USR-0064,2026-05-07 14:58:04,email_upload,0.81,False,
INV-00002,COMP-04,VEN-0106,R&D,6300,16350.62,INR,2943.11,2026-06-29,2026-07-14,Net 60,Paid,PO-351769,,USR-0107,2026-06-29 13:48:53,whatsapp_bot,0.84,False,
INV-00003,COMP-05,VEN-0039,Legal,6500,49098.72,INR,8837.77,2025-04-24,2025-06-23,Net 15,Paid,PO-671897,,USR-0037,2025-04-24 18:19:29,scanned_document,0.84,False,
INV-00004,COMP-02,VEN-0016,HR,6500,55270.19,INR,9948.63,2025-02-12,2025-04-13,Net 30,Overdue,PO-258234,,USR-0052,2025-02-12 11:24:17,scanned_document,0.87,True,
INV-00005,COMP-04,VEN-0014,HR,7000,23819.4,INR,4287.49,2025-09-14,2025-10-29,Net 60,Pending,PO-798466,CTR-5846,USR-0012,2025-09-14 17:47:55,portal_upload,0.87,False,
INV-00006,COMP-02,VEN-0008,Marketing,6200,1694.37,INR,304.99,2026-04-04,2026-05-19,Net 30,Overdue,PO-136812,,USR-0043,2026-04-04 11:46:38,email_upload,0.98,False,
INV-00007,COMP-04,VEN-0096,Customer Success,6900,16216.65,INR,2919.0,2025-10-15,2025-11-14,Net 45,Paid,PO-527360,CTR-9122,USR-0075,2025-10-15 17:01:26,scanned_document,0.92,False,
INV-00008,COMP-04,VEN-0018,HR,7100,54019.34,INR,9723.48,2025-03-05,2025-04-04,Net 45,Paid,PO-156094,,USR-0018,2025-03-05 17:10:43,portal_upload,0.91,False,
INV-00009,COMP-02,VEN-0027,Customer Success,7000,23611.45,INR,4250.06,2026-02-23,2026-03-25,Net 45,Overdue,PO-661700,,USR-0043,2026-02-23 14:02:09,scanned_document,0.89,False,
INV-00010,COMP-01,VEN-0034,HR,6400,17752.03,INR,3195.37,2025-04-09,2025-06-08,Net 60,Overdue,PO-284988,,USR-0063,2025-04-09 10:59:19,email_upload,0.98,False,
INV-00011,COMP-02,VEN-0028,Finance,6500,69781.04,INR,12560.59,2026-02-28,2026-03-15,Net 45,Pending,PO-523289,,USR-0041,2026-02-28 18:42:15,whatsapp_bot,0.84,False,
INV-00012,COMP-03,VEN-0029,Operations,7000,6504.32,INR,1170.78,2025-03-22,2025-05-06,Net 15,Paid,PO-440936,CTR-8660,USR-0022,2025-03-22 17:04:07,whatsapp_bot,0.84,False,
INV-00013,COMP-04,VEN-0038,Finance,6500,77248.05,EUR,0.0,2026-06-28,2026-07-28,Net 15,Paid,PO-705589,,USR-0080,2026-06-28 12:18:53,whatsapp_bot,0.9,True,
INV-00014,COMP-05,VEN-0103,Finance,6600,7698.46,INR,1385.72,2025-12-04,2026-01-18,Net 60,Paid,PO-815829,CTR-4181,USR-0027,2025-12-04 16:36:08,whatsapp_bot,0.97,False,
INV-00015,COMP-03,VEN-0057,HR,6700,23916.89,INR,4305.04,2025-07-21,2025-09-04,Net 45,Paid,PO-875254,,USR-0103,2025-07-21 13:47:50,email_upload,0.94,False,
INV-00016,COMP-05,VEN-0006,Sales,6400,13919.02,INR,2505.42,2026-03-08,2026-03-23,Net 45,Overdue,PO-999810,,USR-0006,2026-03-08 16:49:06,scanned_document,0.83,False,
