budget_id,company_id,department,period,allocated,spent,remaining
BUD-00001,COMP-01,Engineering,2025-01,99304.61,100374.8,-1070.19
BUD-00002,COMP-01,Engineering,2025-02,103484.15,107683.15,-4199.0
BUD-00003,COMP-01,Engineering,2025-03,108515.3,77105.82,31409.48
BUD-00004,COMP-01,Engineering,2025-04,88104.37,34666.48,53437.89
BUD-00005,COMP-01,Engineering,2025-05,101609.64,98067.68,3541.96
BUD-00006,COMP-01,Engineering,2025-06,95660.16,42672.09,52988.07
BUD-00007,COMP-01,Engineering,2025-07,106057.13,78851.71,27205.42
BUD-00008,COMP-01,Engineering,2025-08,98976.39,43868.8,55107.59
BUD-00009,COMP-01,Engineering,2025-09,101065.31,77699.34,23365.97
BUD-00010,COMP-01,Engineering,2025-10,104878.08,105777.84,-899.76
BUD-00011,COMP-01,Engineering,2025-11,89434.96,85558.67,3876.29
BUD-00012,COMP-01,Engineering,2025-12,95408.86,62337.36,33071.5
BUD-00013,COMP-01,Engineering,2026-01,95958.93,90151.78,5807.15
BUD-00014,COMP-01,Engineering,2026-02,98322.07,39536.61,58785.46
BUD-00015,COMP-01,Engineering,2026-03,99125.0,45425.64,53699.36
BUD-00016,COMP-01,Engineering,2026-04,87976.49,34057.84,53918.65
BUD-00017,COMP-01,Engineering,2026-05,96850.67,65761.67,31089.0
BUD-00018,COMP-01,Engineering,2026-06,87606.93,39410.04,48196.89
BUD-00019,COMP-01,Marketing,2025-01,381835.22,406838.7,-25003.48
BUD-00020,COMP-01,Marketing,2025-02,381704.94,399495.03,-17790.09
BUD-00021,COMP-01,Marketing,2025-03,395434.23,250201.56,145232.67
BUD-00022,COMP-01,Marketing,2025-04,336349.4,153988.32,182361.08
BUD-00023,COMP-01,Marketing,2025-05,404736.79,337304.58,67432.21
BUD-00024,COMP-01,Marketing,2025-06,359124.61,168496.36,190628.25
BUD-00025,COMP-01,Marketing,2025-07,390696.25,401937.9,-11241.65
BUD-00026,COMP-01,Marketing,2025-08,354611.19,382190.2,-27579.01
BUD-00027,COMP-01,Marketing,2025-09,380941.97,191198.91,189743.06
BUD-00028,COMP-01,Marketing,2025-10,348532.49,303038.01,45494.48
BUD-00029,COMP-01,Marketing,2025-11,417241.46,207950.28,209291.18
BUD-00030,COMP-01,Marketing,2025-12,353665.85,160715.73,192950.12
BUD-00031,COMP-01,Marketing,2026-01,350935.17,180617.51,170317.66
BUD-00032,COMP-01,Marketing,2026-02,370196.67,193828.41,176368.26
BUD-00033,COMP-01,Marketing,2026-03,392815.04,206254.24,186560.8
BUD-00034,COMP-01,Marketing,2026-04,356267.04,233595.19,122671.85
BUD-00035,COMP-01,Marketing,2026-05,347325.7,134532.61,212793.09
BUD-00036,COMP-01,Marketing,2026-06,340061.6,120225.37,219836.23
BUD-00037,COMP-01,Sales,2025-01,269757.2,188846.73,80910.47
BUD-00038,COMP-01,Sales,2025-02,331848.45,264988.06,66860.39
BUD-00039,COMP-01,Sales,2025-03,288759.6,185829.98,102929.62
BUD-00040,COMP-01,Sales,2025-04,297711.3,173954.65,123756.65
BUD-00041,COMP-01,Sales,2025-05,270094.92,125368.66,144726.26
BUD-00042,COMP-01,Sales,2025-06,276702.2,138839.85,137862.35
BUD-00043,COMP-01,Sales,2025-07,290584.19,123490.22,167093.97
BUD-00044,COMP-01,Sales,2025-08,311639.55,154499.06,157140.49
BUD-00045,COMP-01,Sales,2025-09,303855.32,260116.24,43739.08
BUD-00046,COMP-01,Sales,2025-10,302876.14,269859.2,33016.94
BUD-00047,COMP-01,Sales,2025-11,323793.19,219135.13,104658.06
BUD-00048,COMP-01,Sales,2025-12,281818.12,107381.94,174436.18
BUD-00049,COMP-01,Sales,2026-01,317341.39,196235.81,121105.58
BUD-00050,COMP-01,Sales,2026-02,287624.58,118229.5,169395.08
BUD-00051,COMP-01,Sales,2026-03,279430.19,279682.46,-252.27
BUD-00052,COMP-01,Sales,2026-04,301020.05,291518.2,9501.85
BUD-00053,COMP-01,Sales,2026-05,328541.04,174501.59,154039.45
BUD-00054,COMP-01,Sales,2026-06,282832.45,282068.26,764.19
BUD-00055,COMP-01,HR,2025-01,163491.71,168992.08,-5500.37
BUD-00056,COMP-01,HR,2025-02,158326.81,104503.48,53823.33
BUD-00057,COMP-01,HR,2025-03,177476.31,173929.62,3546.69
BUD-00058,COMP-01,HR,2025-04,176287.26,152685.13,23602.13
BUD-00059,COMP-01,HR,2025-05,148913.95,57343.64,91570.31
BUD-00060,COMP-01,HR,2025-06,141030.68,144396.62,-3365.94
BUD-00061,COMP-01,HR,2025-07,161328.28,160483.04,845.24
BUD-00062,COMP-01,HR,2025-08,177481.57,92864.63,84616.94
BUD-00063,COMP-01,HR,2025-09,177970.02,97863.09,80106.93
BUD-00064,COMP-01,HR,2025-10,147166.14,80739.77,66426.37
BUD-00065,COMP-01,HR,2025-11,178957.07,185394.11,-6437.04
BUD-00066,COMP-01,HR,2025-12,153911.54,108024.23,45887.31
BUD-00067,COMP-01,HR,2026-01,172266.7,161404.09,10862.61
BUD-00068,COMP-01,HR,2026-02,175139.99,107622.93,67517.06
BUD-00069,COMP-01,HR,2026-03,149235.95,108102.45,41133.5
BUD-00070,COMP-01,HR,2026-04,176562.34,140825.57,35736.77
BUD-00071,COMP-01,HR,2026-05,174145.83,85894.22,88251.61
BUD-00072,COMP-01,HR,2026-06,159943.87,163063.79,-3119.92
BUD-00073,COMP-01,Operations,2025-01,288496.26,271060.95,17435.31
BUD-00074,COMP-01,Operations,2025-02,265444.42,226481.95,38962.47
BUD-00075,COMP-01,Operations,2025-03,281803.13,189044.75,92758.38
BUD-00076,COMP-01,Operations,2025-04,270531.29,254667.14,15864.15
BUD-00077,COMP-01,Operations,2025-05,294263.63,314946.19,-20682.56
BUD-00078,COMP-01,Operations,2025-06,260501.08,219755.31,40745.77
BUD-00079,COMP-01,Operations,2025-07,272541.89,264863.93,7677.96
BUD-00080,COMP-01,Operations,2025-08,252161.64,174202.62,77959.02
BUD-00081,COMP-01,Operations,2025-09,253197.6,237078.65,16118.95
BUD-00082,COMP-01,Operations,2025-10,283016.0,100370.83,182645.17
BUD-00083,COMP-01,Operations,2025-11,243498.36,110399.61,133098.75
BUD-00084,COMP-01,Operations,2025-12,275197.44,252053.75,23143.69
BUD-00085,COMP-01,Operations,2026-01,258959.84,105648.97,153310.87
BUD-00086,COMP-01,Operations,2026-02,274819.28,219447.84,55371.44
BUD-00087,COMP-01,Operations,2026-03,264633.31,144932.0,119701.31
BUD-00088,COMP-01,Operations,2026-04,259151.69,134665.25,124486.44
BUD-00089,COMP-01,Operations,2026-05,289745.67,182130.51,107615.16
BUD-00090,COMP-01,Operations,2026-06,283224.35,212660.56,70563.79
BUD-00091,COMP-01,Finance,2025-01,148735.63,124851.11,23884.52
BUD-00092,COMP-01,Finance,2025-02,171106.33,174488.85,-3382.52
BUD-00093,COMP-01,Finance,2025-03,143917.57,77603.17,66314.4
BUD-00094,COMP-01,Finance,2025-04,141816.89,69225.87,72591.02
BUD-00095,COMP-01,Finance,2025-05,152833.52,133612.12,19221.4
BUD-00096,COMP-01,Finance,2025-06,173133.44,135270.08,37863.36
BUD-00097,COMP-01,Finance,2025-07,143595.06,89715.58,53879.48
BUD-00098,COMP-01,Finance,2025-08,143521.43,79521.26,64000.17
BUD-00099,COMP-01,Finance,2025-09,160043.08,114625.63,45417.45
BUD-00100,COMP-01,Finance,2025-10,144612.04,79762.52,64849.52
BUD-00101,COMP-01,Finance,2025-11,172370.44,139660.5,32709.94
BUD-00102,COMP-01,Finance,2025-12,161075.29,94248.72,66826.57
BUD-00103,COMP-01,Finance,2026-01,149481.27,135414.24,14067.03
BUD-00104,COMP-01,Finance,2026-02,138592.03,114657.53,23934.5
BUD-00105,COMP-01,Finance,2026-03,174674.43,142148.15,32526.28
BUD-00106,COMP-01,Finance,2026-04,139859.82,52401.22,87458.6
BUD-00107,COMP-01,Finance,2026-05,168110.22,81566.34,86543.88
BUD-00108,COMP-01,Finance,2026-06,154194.0,127299.41,26894.59
BUD-00109,COMP-01,IT,2025-01,287720.78,244001.56,43719.22
BUD-00110,COMP-01,IT,2025-02,334037.03,231097.93,102939.1
BUD-00111,COMP-01,IT,2025-03,295744.82,251524.97,44219.85
BUD-00112,COMP-01,IT,2025-04,331039.77,281869.77,49170.0
BUD-00113,COMP-01,IT,2025-05,335044.25,308422.01,26622.24
BUD-00114,COMP-01,IT,2025-06,337212.59,179637.64,157574.95
BUD-00115,COMP-01,IT,2025-07,316221.68,159031.28,157190.4
BUD-00116,COMP-01,IT,2025-08,275108.27,164872.69,110235.58
BUD-00117,COMP-01,IT,2025-09,336408.98,190076.32,146332.66
BUD-00118,COMP-01,IT,2025-10,289271.67,296957.1,-7685.43
BUD-00119,COMP-01,IT,2025-11,339080.16,306175.31,32904.85
BUD-00120,COMP-01,IT,2025-12,292507.11,278173.39,14333.72
BUD-00121,COMP-01,IT,2026-01,271264.28,96943.42,174320.86
BUD-00122,COMP-01,IT,2026-02,271092.0,161127.46,109964.54
BUD-00123,COMP-01,IT,2026-03,284267.06,277784.79,6482.27
BUD-00124,COMP-01,IT,2026-04,299478.92,290906.53,8572.39
BUD-00125,COMP-01,IT,2026-05,302522.42,188087.94,114434.48
BUD-00126,COMP-01,IT,2026-06,291532.46,112138.49,179393.97
BUD-00127,COMP-01,Legal,2025-01,256559.68,271776.55,-15216.87
BUD-00128,COMP-01,Legal,2025-02,255463.77,107650.92,147812.85
BUD-00129,COMP-01,Legal,2025-03,227867.88,218475.8,9392.08
BUD-00130,COMP-01,Legal,2025-04,211627.17,84155.32,127471.85
BUD-00131,COMP-01,Legal,2025-05,214544.15,88269.63,126274.52
BUD-00132,COMP-01,Legal,2025-06,244666.52,212907.71,31758.81
BUD-00133,COMP-01,Legal,2025-07,258662.89,100075.41,158587.48
BUD-00134,COMP-01,Legal,2025-08,242559.24,225403.01,17156.23
BUD-00135,COMP-01,Legal,2025-09,213007.75,86852.58,126155.17
BUD-00136,COMP-01,Legal,2025-10,258181.52,239348.85,18832.67
BUD-00137,COMP-01,Legal,2025-11,206837.14,100645.83,106191.31
BUD-00138,COMP-01,Legal,2025-12,240071.04,113977.31,126093.73
BUD-00139,COMP-01,Legal,2026-01,227523.92,104540.88,122983.04
